Model,Threshold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,Specificity,NPV,Alert_Rate
Logistic Regression,0.5000000000000002,494,1705,648,212,0.7188623733246159,0.43257443082311736,0.6997167138810199,0.5346320346320347,0.7246068848278793,0.8894105372978612,0.37332461588754495
XGBoost,0.2,631,1062,1291,75,0.5534488394900294,0.32830385015608743,0.8937677053824362,0.4802130898021309,0.4513387165320867,0.9340369393139841,0.6283099051977771
XGBoost,0.21000000000000002,628,1098,1255,78,0.5642366786531546,0.3335103558151885,0.8895184135977338,0.485129393588258,0.46663833404164895,0.9336734693877551,0.6155606407322655
XGBoost,0.22000000000000003,623,1136,1217,83,0.5750245178162798,0.33858695652173915,0.8824362606232294,0.48939512961508247,0.48278793030174244,0.9319114027891715,0.6015037593984962
XGBoost,0.23000000000000004,618,1168,1185,88,0.5838509316770186,0.3427620632279534,0.8753541076487252,0.49262654444001597,0.49638759031024227,0.9299363057324841,0.5894083033671135
XGBoost,0.24000000000000005,613,1204,1149,93,0.5939849624060151,0.347900113507378,0.8682719546742209,0.4967585089141005,0.5116872078198045,0.9282960678488821,0.576005230467473
XGBoost,0.25000000000000006,609,1235,1118,97,0.6028113762667539,0.35263462651997685,0.8626062322946175,0.5006165228113441,0.5248618784530387,0.9271771771771772,0.564563582870219
XGBoost,0.26000000000000006,606,1261,1092,100,0.610330173259235,0.3568904593639576,0.8583569405099151,0.5041597337770383,0.5359116022099447,0.9265246142542248,0.5550833605753515
XGBoost,0.2700000000000001,602,1289,1064,104,0.6181758744687806,0.36134453781512604,0.8526912181303116,0.5075885328836425,0.547811304717382,0.9253409906676239,0.5446224256292906
XGBoost,0.2800000000000001,598,1317,1036,108,0.6260215756783263,0.3659730722154223,0.8470254957507082,0.5111111111111111,0.5597110072248194,0.9242105263157895,0.5341614906832298
XGBoost,0.2900000000000001,592,1346,1007,114,0.6335403726708074,0.3702313946216385,0.8385269121813032,0.5136659436008677,0.5720356991075223,0.9219178082191781,0.5227198430859759
XGBoost,0.3000000000000001,585,1377,976,121,0.6413860738803531,0.37475976937860345,0.8286118980169972,0.5161005734450816,0.5852103697407565,0.9192256341789052,0.5102974828375286
XGBoost,0.3100000000000001,576,1415,938,130,0.6508662961752206,0.380449141347424,0.8158640226628895,0.518918918918919,0.60135996600085,0.9158576051779935,0.4949329846355018
XGBoost,0.3200000000000001,572,1440,913,134,0.6577312847335731,0.3851851851851852,0.8101983002832861,0.5221360109539023,0.6119847003824904,0.9148665819567979,0.48545276234063417
XGBoost,0.3300000000000001,564,1456,897,142,0.6603465184700883,0.3860369609856263,0.7988668555240793,0.5205353022611906,0.6187845303867403,0.9111389236545682,0.4776070611310886
XGBoost,0.34000000000000014,559,1480,873,147,0.6665576985943119,0.39036312849162014,0.7917847025495751,0.5229186155285314,0.6289842753931152,0.9096496619545175,0.46812683883622097
XGBoost,0.35000000000000014,547,1506,847,159,0.6711343576332135,0.39239598278335724,0.7747875354107648,0.520952380952381,0.6400339991500212,0.9045045045045045,0.4557044785877738
XGBoost,0.36000000000000015,537,1533,820,169,0.6766917293233082,0.39572586588061903,0.7606232294617564,0.5206010664081435,0.651508712282193,0.900705052878966,0.44360902255639095
XGBoost,0.37000000000000016,535,1553,800,171,0.6825760052304675,0.40074906367041196,0.7577903682719547,0.5242528172464478,0.6600084997875053,0.9008120649651972,0.4364171297809742
XGBoost,0.38000000000000017,530,1574,779,176,0.6878064727034979,0.40488922841864017,0.7507082152974505,0.5260545905707196,0.6689332766680833,0.8994285714285715,0.4279176201372998
XGBoost,0.3900000000000002,521,1593,760,185,0.6910755148741419,0.4067135050741608,0.7379603399433428,0.5244086562657272,0.6770080747981301,0.8959505061867267,0.41876430205949655
XGBoost,0.4000000000000002,518,1617,736,188,0.6979405034324943,0.4130781499202552,0.7337110481586402,0.5285714285714286,0.6872078198045048,0.8958448753462603,0.40993788819875776
XGBoost,0.4100000000000002,511,1651,702,195,0.706766917293233,0.42126957955482275,0.7237960339943342,0.532569046378322,0.7016574585635359,0.8943661971830986,0.3965348152991174
XGBoost,0.4200000000000002,505,1675,678,201,0.7126511932003923,0.4268808114961961,0.7152974504249292,0.5346744309158284,0.7118572035699108,0.8928571428571429,0.38672768878718533
XGBoost,0.4300000000000002,499,1693,660,207,0.7165740438051651,0.43054357204486626,0.7067988668555241,0.5351206434316353,0.7195070123246918,0.8910526315789473,0.37888198757763975
